鄉鎮市區,交易標的,臨路,土地移轉坪數,都市土地使用分區,總樓層,頂樓註記,屋齡,建物移轉坪數,管理組織,車位總面積,單價,車位總價
楠梓區,房地(土地+建物)+車位,Y,5.66,住宅區,15,Y,3.7,56.38,Y,5.39,18.5,138
三民區,房地(土地+建物),N,2.18,商業區,18,N,26.1,24.28,Y,0,14.7,0
新興區,房地(土地+建物)+車位,Y,5.65,商業區,15,N,9.6,84.16,Y,7.16,22.1,0
前鎮區,房地(土地+建物),N,10.46,住宅區,12,N,25,47.83,Y,0,10.5,0
左營區,房地(土地+建物),Y,3.23,住宅區,14,N,0.8,30.59,Y,0,22.5,0
前金區,房地(土地+建物)+車位,Y,4.56,商業區,15,N,2.2,71.89,Y,3.99,29.1,0
鼓山區,房地(土地+建物),Y,2.57,商業區,15,N,13.9,25.54,Y,0,21.5,0
鳳山區,房地(土地+建物)+車位,Y,3.02,住宅區,12,N,23.8,22.75,Y,0,11.3,0
鳳山區,房地(土地+建物),Y,3.06,住宅區,23,N,24.9,42.22,Y,0,12.8,0
鳳山區,房地(土地+建物),Y,2.68,住宅區,14,N,22.1,23.82,Y,0,11.8,0
楠梓區,房地(土地+建物)+車位,Y,3.41,住宅區,20,Y,6.2,43.27,N,7.18,16.4,0
鳳山區,房地(土地+建物)+車位,Y,15.81,住宅區,14,N,7.1,63,Y,0,11.9,0
左營區,房地(土地+建物)+車位,N,2.28,住宅區,24,N,23.8,30.66,Y,0,14.4,0
鼓山區,房地(土地+建物)+車位,Y,8.9,住宅區,28,N,3.4,108.56,Y,0,30.2,0
楠梓區,房地(土地+建物)+車位,Y,6.52,住宅區,15,N,4,39.51,Y,4.59,26.8,0
前鎮區,房地(土地+建物)+車位,Y,2.99,商業區,15,N,0.4,28.66,Y,0,17.7,0
三民區,房地(土地+建物),Y,3.09,商業區,12,N,20.7,37.97,Y,0,12.9,0
苓雅區,房地(土地+建物),Y,2.45,商業區,15,N,0.4,31.45,Y,0,23.1,0
苓雅區,房地(土地+建物),N,5.48,住宅區,12,N,26.4,39.55,Y,0,16.6,0
鼓山區,房地(土地+建物)+車位,Y,9.1,住宅區,28,N,3.4,111.09,Y,0,26,0
苓雅區,房地(土地+建物)+車位,N,2.38,商業區,15,N,10.7,46.1,Y,0,18.1,0
橋頭區,房地(土地+建物)+車位,Y,5.67,住宅區,15,N,0.3,44.18,Y,0,17.8,0
左營區,房地(土地+建物)+車位,Y,6.79,商業區,35,N,4.6,119.74,Y,12.11,16.7,0
鼓山區,房地(土地+建物)+車位,Y,12.69,住宅區,28,N,3.4,154.82,Y,0,31.7,0
苓雅區,房地(土地+建物),Y,1.82,商業區,15,N,0.4,23.39,Y,0,22,0
左營區,房地(土地+建物)+車位,Y,2.22,商業區,28,N,1.3,41.41,Y,8.81,23.4,0
鳳山區,房地(土地+建物)+車位,Y,3.92,住宅區,15,N,6.1,23.02,Y,0,14.8,0
三民區,房地(土地+建物)+車位,N,3.48,住宅區,24,N,23,42.24,Y,0,13.9,0
苓雅區,房地(土地+建物)+車位,N,4.76,商業區,15,N,10.7,46.1,Y,0,18.1,0
鼓山區,房地(土地+建物)+車位,Y,9.35,住宅區,29,N,4.6,114.7,Y,10.16,25,0
鼓山區,房地(土地+建物)+車位,Y,8.08,住宅區,19,N,2.9,93.77,Y,8.91,19.5,0
鼓山區,房地(土地+建物),Y,4.91,住宅區,15,N,12.2,34.82,Y,0,22.1,0
三民區,房地(土地+建物)+車位,N,2.71,商業區,29,N,0.8,47.24,Y,11.39,20.8,0
左營區,房地(土地+建物)+車位,Y,1.61,商業區,15,Y,5,19.72,Y,1.75,24.3,0
橋頭區,房地(土地+建物)+車位,Y,2.77,商業區,24,N,0.6,27.98,N,4.6,16.6,0
橋頭區,房地(土地+建物)+車位,Y,3.92,住宅區,15,N,0.3,30.69,Y,0,17.8,0
前鎮區,房地(土地+建物)+車位,N,9.17,住宅區,12,N,24.9,41.95,Y,0,13.1,0
左營區,房地(土地+建物)+車位,Y,6.1,住宅區,15,N,4.5,55.53,Y,9.06,26.7,0
鼓山區,房地(土地+建物)+車位,Y,6.55,商業區,38,Y,3.8,113.14,N,11.95,32.4,0
楠梓區,房地(土地+建物),Y,1.82,商業區,22,N,1.5,23.21,Y,0,16.7,0
仁武區,房地(土地+建物)+車位,Y,9.78,住宅區,23,N,1.6,62.02,Y,10.74,25.5,170
大寮區,房地(土地+建物)+車位,Y,4.88,住宅區,13,N,22.7,44.65,Y,0,8,0
鳳山區,房地(土地+建物),Y,2.85,商業區,15,N,4.9,26.01,Y,0,18.5,0
楠梓區,房地(土地+建物)+車位,Y,5.64,住宅區,15,N,3.7,56.83,Y,5.01,18.7,133
大寮區,房地(土地+建物)+車位,Y,4.37,商業區,14,N,20.3,41.58,Y,7.26,8.7,0
新興區,房地(土地+建物),Y,0.98,商業區,14,N,19.3,11.19,Y,0,15.9,0
鳳山區,房地(土地+建物)+車位,Y,3.46,住宅區,14,N,23.1,29.15,Y,0,14.3,0
左營區,房地(土地+建物),Y,3.61,住宅區,15,Y,3.8,27.46,Y,0,20.2,0
左營區,房地(土地+建物)+車位,Y,3.82,商業區,28,N,1.3,70.84,Y,10.06,21.6,0
橋頭區,房地(土地+建物)+車位,Y,3.27,住宅區,15,N,0.3,25.6,Y,0,16.4,0
苓雅區,房地(土地+建物)+車位,Y,1.51,商業區,15,N,0.4,27.37,Y,8.69,20.8,200
鼓山區,房地(土地+建物)+車位,Y,3.85,商業區,19,N,25.1,52.82,Y,0,16.9,0
左營區,房地(土地+建物)+車位,Y,14.5,住宅區,25,N,4,122.27,Y,20.73,30.2,0
橋頭區,房地(土地+建物)+車位,Y,3.71,住宅區,15,N,0.3,29.81,Y,0,18.1,0
楠梓區,房地(土地+建物)+車位,N,3.5,住宅區,13,N,21,37.98,Y,2.25,11.3,0
鳳山區,房地(土地+建物),Y,4.88,住宅區,14,N,23.6,38.59,Y,0,27.2,0
新興區,房地(土地+建物),Y,6.95,商業區,14,N,23.1,38.55,Y,0,23.2,0
左營區,房地(土地+建物)+車位,Y,8.78,住宅區,15,N,1.8,86.91,Y,15.6,26.6,370
橋頭區,房地(土地+建物)+車位,Y,5.23,住宅區,15,N,0.3,41.11,Y,0,19.1,0
鳳山區,房地(土地+建物)+車位,Y,4.88,住宅區,14,N,23.6,45.86,Y,0,26.2,0
左營區,房地(土地+建物)+車位,Y,2.09,商業區,13,N,24.8,32.03,Y,0,16.4,0
新興區,房地(土地+建物)+車位,Y,3.23,商業區,15,N,6.5,40.45,Y,0,20.6,0
