鄉鎮市區,臨路,都市土地使用分區,屋齡,管理組織,單價,車位總價
楠梓區,Y,住宅區,3.7,Y,18.5,138
三民區,N,商業區,26.1,Y,14.7,0
新興區,Y,商業區,9.6,Y,22.1,0
前鎮區,N,住宅區,25,Y,10.5,0
左營區,Y,住宅區,0.8,Y,22.5,0
前金區,Y,商業區,2.2,Y,29.1,0
鼓山區,Y,商業區,13.9,Y,21.5,0
鳳山區,Y,住宅區,23.8,Y,11.3,0
鳳山區,Y,住宅區,24.9,Y,12.8,0
鳳山區,Y,住宅區,22.1,Y,11.8,0
楠梓區,Y,住宅區,6.2,N,16.4,0
鳳山區,Y,住宅區,7.1,Y,11.9,0
左營區,N,住宅區,23.8,Y,14.4,0
鼓山區,Y,住宅區,3.4,Y,30.2,0
楠梓區,Y,住宅區,4,Y,26.8,0
前鎮區,Y,商業區,0.4,Y,17.7,0
三民區,Y,商業區,20.7,Y,12.9,0
苓雅區,Y,商業區,0.4,Y,23.1,0
苓雅區,N,住宅區,26.4,Y,16.6,0
鼓山區,Y,住宅區,3.4,Y,26,0
苓雅區,N,商業區,10.7,Y,18.1,0
橋頭區,Y,住宅區,0.3,Y,17.8,0
左營區,Y,商業區,4.6,Y,16.7,0
鼓山區,Y,住宅區,3.4,Y,31.7,0
苓雅區,Y,商業區,0.4,Y,22,0
左營區,Y,商業區,1.3,Y,23.4,0
鳳山區,Y,住宅區,6.1,Y,14.8,0
三民區,N,住宅區,23,Y,13.9,0
苓雅區,N,商業區,10.7,Y,18.1,0
鼓山區,Y,住宅區,4.6,Y,25,0
鼓山區,Y,住宅區,2.9,Y,19.5,0
鼓山區,Y,住宅區,12.2,Y,22.1,0
三民區,N,商業區,0.8,Y,20.8,0
左營區,Y,商業區,5,Y,24.3,0
橋頭區,Y,商業區,0.6,N,16.6,0
橋頭區,Y,住宅區,0.3,Y,17.8,0
前鎮區,N,住宅區,24.9,Y,13.1,0
左營區,Y,住宅區,4.5,Y,26.7,0
鼓山區,Y,商業區,3.8,N,32.4,0
楠梓區,Y,商業區,1.5,Y,16.7,0
仁武區,Y,住宅區,1.6,Y,25.5,170
大寮區,Y,住宅區,22.7,Y,8,0
鳳山區,Y,商業區,4.9,Y,18.5,0
楠梓區,Y,住宅區,3.7,Y,18.7,133
大寮區,Y,商業區,20.3,Y,8.7,0
新興區,Y,商業區,19.3,Y,15.9,0
鳳山區,Y,住宅區,23.1,Y,14.3,0
左營區,Y,住宅區,3.8,Y,20.2,0
左營區,Y,商業區,1.3,Y,21.6,0
橋頭區,Y,住宅區,0.3,Y,16.4,0
苓雅區,Y,商業區,0.4,Y,20.8,200
鼓山區,Y,商業區,25.1,Y,16.9,0
左營區,Y,住宅區,4,Y,30.2,0
橋頭區,Y,住宅區,0.3,Y,18.1,0
楠梓區,N,住宅區,21,Y,11.3,0
鳳山區,Y,住宅區,23.6,Y,27.2,0
新興區,Y,商業區,23.1,Y,23.2,0
左營區,Y,住宅區,1.8,Y,26.6,370
橋頭區,Y,住宅區,0.3,Y,19.1,0
鳳山區,Y,住宅區,23.6,Y,26.2,0
左營區,Y,商業區,24.8,Y,16.4,0
新興區,Y,商業區,6.5,Y,20.6,0
楠梓區,Y,商業區,6.6,Y,14,0
三民區,Y,住宅區,0.6,Y,33.5,200
鼓山區,Y,住宅區,7.8,Y,25.1,0
前金區,Y,商業區,9.1,Y,39.5,0
苓雅區,Y,商業區,0.4,Y,24.8,0
鼓山區,Y,住宅區,14.1,Y,20.4,120
楠梓區,Y,住宅區,24.8,Y,9.9,0
岡山區,N,住宅區,24.3,Y,8.1,0
三民區,Y,住宅區,21.6,Y,10.6,0
左營區,Y,住宅區,20.9,Y,12.9,0
苓雅區,Y,商業區,0.4,Y,25.2,0
三民區,Y,商業區,26.8,Y,14.3,0
前鎮區,Y,住宅區,22.2,Y,15.1,0
楠梓區,Y,商業區,5.3,Y,14.9,0
仁武區,Y,住宅區,0.7,Y,15.8,85
鼓山區,Y,住宅區,14.8,Y,20.1,0
左營區,Y,住宅區,0.8,Y,23.5,0
左營區,Y,住宅區,0.8,Y,23,0
仁武區,Y,住宅區,0.7,Y,17,95
鼓山區,Y,住宅區,0.5,Y,22.3,396
楠梓區,Y,住宅區,3.9,Y,17.9,130
三民區,N,商業區,0.8,Y,20.4,0
鼓山區,Y,商業區,3.7,Y,52.9,520
左營區,N,住宅區,13.3,Y,19.5,0
鼓山區,Y,住宅區,36.9,N,11.1,0
鳥松區,Y,住宅區,2.7,Y,14.6,0
鼓山區,Y,商業區,3.7,Y,61.7,1440
三民區,Y,商業區,22.8,Y,13.7,0
小港區,Y,住宅區,3.7,N,18.4,0
鼓山區,Y,商業區,27.9,Y,12,0
鼓山區,Y,商業區,13.9,Y,17.1,0
鼓山區,Y,商業區,3.5,Y,23.3,0
