鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地使用分區,土地移轉總面積_坪,交易筆棟數_土地數量,交易筆棟數_建物數量,交易年,交易月,交易日,建成年,建成月,建成日,屋齡_年,建物型態,建物移轉總面積_坪,建物單坪價格_萬元,建物現況格局.隔間,有無管理組織,總價元,有無車位,車位總價元,緯度,經度
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍德路31~60號,住,15.6,1,1,108,9,21,104,11,3,4,住宅大樓(11層含以上有電梯),121.9,25.6,n,y,31250000,y,0,22.654201,120.302825
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術館路1~30號,住,5,1,1,108,10,19,94,4,4,14,住宅大樓(11層含以上有電梯),40.3,22.1,y,n,8900000,y,0,22.654783,120.291309
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍水二路91~120號,住,8.2,1,1,108,10,1,104,5,13,4,住宅大樓(11層含以上有電梯),93.1,25.8,y,y,24000000,y,0,22.649806,120.284602
鼓山區,房地(土地+建物)+車位,高雄市鼓山區裕國街121~150號,住,6.6,1,1,108,9,14,94,9,9,14,住宅大樓(11層含以上有電梯),52.9,20.6,y,y,10880000,y,0,22.658879,120.293328
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍勝路271~300號,商,8.2,1,1,108,10,24,104,9,15,4,住宅大樓(11層含以上有電梯),142.1,32.2,n,y,45800000,y,0,22.654443,120.295861
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南三路361~390號,住,8.4,1,1,108,10,13,106,6,1,2,住宅大樓(11層含以上有電梯),102.6,29.9,y,y,30680000,y,1700000,22.653524,120.284854
前鎮區,房地(土地+建物)+車位,高雄市前鎮區瑞恩街91~120號,住,6.8,1,1,108,10,5,86,4,1,22,華廈(10層含以下有電梯),41.2,12.9,y,y,5300000,y,0,22.610062,120.32984
前鎮區,房地(土地+建物)+車位,高雄市前鎮區鄭和南路361~390號,商,7.4,1,1,108,10,24,96,5,9,12,住宅大樓(11層含以上有電梯),88.9,22.5,y,y,20000000,y,0,22.606873,120.314339
前鎮區,房地(土地+建物)+車位,高雄市前鎮區鎮海路82巷1~30號,住,3.6,1,1,108,10,19,103,6,17,5,住宅大樓(11層含以上有電梯),33.7,18.7,y,y,6300000,y,0,22.590703,120.316661
三民區,房地(土地+建物)+車位,高雄市三民區正忠路31~60號,商,6,1,1,108,9,5,104,9,6,4,住宅大樓(11層含以上有電梯),97.3,20.6,y,y,20000000,y,2800000,22.645812,120.330244
三民區,房地(土地+建物)+車位,高雄市三民區興昌街31~60號,商,3.3,1,1,108,10,9,104,12,30,4,住宅大樓(11層含以上有電梯),35.1,21.2,y,y,7450000,y,0,22.647029,120.318438
三民區,房地(土地+建物)+車位,高雄市三民區自立一路85巷1~30號,商,9.9,1,1,108,10,24,87,11,13,21,住宅大樓(11層含以上有電梯),64.6,15,y,y,9700000,y,0,22.636571,120.296574
左營區,房地(土地+建物)+車位,高雄市左營區光興街151~180號,住,3.4,1,1,108,10,12,88,5,13,20,住宅大樓(11層含以上有電梯),38.5,17.7,y,y,6800000,y,0,22.662255,120.310753
左營區,房地(土地+建物)+車位,高雄市左營區辛亥路241~270號,其他,5.4,1,1,108,10,14,101,11,5,7,住宅大樓(11層含以上有電梯),82.8,21.3,y,y,17650000,y,0,22.662821,120.309268
左營區,房地(土地+建物)+車位,高雄市左營區重化街61~90號,商,4.4,1,1,108,10,10,88,3,29,20,住宅大樓(11層含以上有電梯),48.1,14.9,y,n,7160000,y,0,22.674714,120.308402
左營區,房地(土地+建物)+車位,高雄市左營區新莊一路181~210號,住,4.7,1,1,108,9,28,94,5,20,14,住宅大樓(11層含以上有電梯),41.2,19.9,y,y,8200000,y,0,22.673217,120.297447
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德賢路209巷1~30號,住,5.1,1,1,108,10,5,84,8,21,24,住宅大樓(11層含以上有電梯),43.7,12.1,y,y,5300000,y,0,22.725971,120.306523
